citation,full_reference,exp,,
albaugh_et_al_1998,"albaugh_et_al,_1998_leaf_area_and_above-_and_belowground_growth_responses_of_loblolly_pine_to_nutrient_and_water_additions_forest_science_44,_317-328",setres_hf,,
albert_et_al_2011a,"albert_kr,_ro-poulsen_h,_mikkelsen_tn,_et_al_(2011)_effects_of_elevated_co2,_warming_and_drought_episodes_on_plant_carbon_uptake_in_a_temperate_heath_ecosystem_are_controlled_by_soil_water_status_plant,_cell_&_environment_34:1207–1222_doi:_101111/j136",climaite_c,,
albert_et_al_2011a,"albert_kr,_ro-poulsen_h,_mikkelsen_tn,_et_al_(2011)_effects_of_elevated_co2,_warming_and_drought_episodes_on_plant_carbon_uptake_in_a_temperate_heath_ecosystem_are_controlled_by_soil_water_status_plant,_cell_&_environment_34:1207–1222_doi:_101111/j136",climaite_cd,,
albert_et_al_2011a,"albert_kr,_ro-poulsen_h,_mikkelsen_tn,_et_al_(2011)_effects_of_elevated_co2,_warming_and_drought_episodes_on_plant_carbon_uptake_in_a_temperate_heath_ecosystem_are_controlled_by_soil_water_status_plant,_cell_&_environment_34:1207–1222_doi:_101111/j136",climaite_cw,,
albert_et_al_2011a,"albert_kr,_ro-poulsen_h,_mikkelsen_tn,_et_al_(2011)_effects_of_elevated_co2,_warming_and_drought_episodes_on_plant_carbon_uptake_in_a_temperate_heath_ecosystem_are_controlled_by_soil_water_status_plant,_cell_&_environment_34:1207–1222_doi:_101111/j136",climaite_cwd,,
albert_et_al_2011a,"albert_kr,_ro-poulsen_h,_mikkelsen_tn,_et_al_(2011)_effects_of_elevated_co2,_warming_and_drought_episodes_on_plant_carbon_uptake_in_a_temperate_heath_ecosystem_are_controlled_by_soil_water_status_plant,_cell_&_environment_34:1207–1222_doi:_101111/j136",climaite_d,,
albert_et_al_2011a,"albert_kr,_ro-poulsen_h,_mikkelsen_tn,_et_al_(2011)_effects_of_elevated_co2,_warming_and_drought_episodes_on_plant_carbon_uptake_in_a_temperate_heath_ecosystem_are_controlled_by_soil_water_status_plant,_cell_&_environment_34:1207–1222_doi:_101111/j136",climaite_dw,,
albert_et_al_2011a,"albert_kr,_ro-poulsen_h,_mikkelsen_tn,_et_al_(2011)_effects_of_elevated_co2,_warming_and_drought_episodes_on_plant_carbon_uptake_in_a_temperate_heath_ecosystem_are_controlled_by_soil_water_status_plant,_cell_&_environment_34:1207–1222_doi:_101111/j136",climaite_w,,
albert_et_al_2011b,"albert_kr,_ro-poulsen_h,_mikkelsen_tn,_et_al_(2011)_interactive_effects_of_elevated_co2,_warming,_and_drought_on_photosynthesis_of_deschampsia_flexuosa_in_a_temperate_heath_ecosystem_j_exp_bot_62:4253–4266_doi:_101093/jxb/err133",climaite_c,,
albert_et_al_2011b,"albert_kr,_ro-poulsen_h,_mikkelsen_tn,_et_al_(2011)_interactive_effects_of_elevated_co2,_warming,_and_drought_on_photosynthesis_of_deschampsia_flexuosa_in_a_temperate_heath_ecosystem_j_exp_bot_62:4253–4266_doi:_101093/jxb/err133",climaite_cd,,
albert_et_al_2011b,"albert_kr,_ro-poulsen_h,_mikkelsen_tn,_et_al_(2011)_interactive_effects_of_elevated_co2,_warming,_and_drought_on_photosynthesis_of_deschampsia_flexuosa_in_a_temperate_heath_ecosystem_j_exp_bot_62:4253–4266_doi:_101093/jxb/err133",climaite_cw,,
albert_et_al_2011b,"albert_kr,_ro-poulsen_h,_mikkelsen_tn,_et_al_(2011)_interactive_effects_of_elevated_co2,_warming,_and_drought_on_photosynthesis_of_deschampsia_flexuosa_in_a_temperate_heath_ecosystem_j_exp_bot_62:4253–4266_doi:_101093/jxb/err133",climaite_cwd,,
albert_et_al_2011b,"albert_kr,_ro-poulsen_h,_mikkelsen_tn,_et_al_(2011)_interactive_effects_of_elevated_co2,_warming,_and_drought_on_photosynthesis_of_deschampsia_flexuosa_in_a_temperate_heath_ecosystem_j_exp_bot_62:4253–4266_doi:_101093/jxb/err133",climaite_d,,
albert_et_al_2011b,"albert_kr,_ro-poulsen_h,_mikkelsen_tn,_et_al_(2011)_interactive_effects_of_elevated_co2,_warming,_and_drought_on_photosynthesis_of_deschampsia_flexuosa_in_a_temperate_heath_ecosystem_j_exp_bot_62:4253–4266_doi:_101093/jxb/err133",climaite_dw,,
albert_et_al_2011b,"albert_kr,_ro-poulsen_h,_mikkelsen_tn,_et_al_(2011)_interactive_effects_of_elevated_co2,_warming,_and_drought_on_photosynthesis_of_deschampsia_flexuosa_in_a_temperate_heath_ecosystem_j_exp_bot_62:4253–4266_doi:_101093/jxb/err133",climaite_w,,
ali_et_al_2013,"ali_aa,_medlyn_be,_crous_ky,_reich_pb_2013_a_trait‐based_ecosystem_model_suggests_that_long‐term_responsiveness_to_rising_atmospheric_co2_concentration_is_greater_in_slow‐growing_than_fast‐growing_plants functional_ecology, 27(4):_1011-1022",biocon_c,,
ali_et_al_2013,"ali_aa,_medlyn_be,_crous_ky,_reich_pb_2013_a_trait‐based_ecosystem_model_suggests_that_long‐term_responsiveness_to_rising_atmospheric_co2_concentration_is_greater_in_slow‐growing_than_fast‐growing_plants functional_ecology, 27(4):_1011-1022",biocon_cf,,
ali_et_al_2013,"ali_aa,_medlyn_be,_crous_ky,_reich_pb_2013_a_trait‐based_ecosystem_model_suggests_that_long‐term_responsiveness_to_rising_atmospheric_co2_concentration_is_greater_in_slow‐growing_than_fast‐growing_plants functional_ecology, 27(4):_1011-1022",biocon_f,,
allard_et_al_2003,"allard_v,_newton_pcd,_lieffering_m,_clark_h,_matthew_c,_soussana_j-f,_gray_ys_(2003)_nitrogen_cycling_in_grazed_pastures_at_elevated_co2:_n_returns_by_ruminants_global_change_biology,_9,_1731–1742",new_zealand_face_c,,
allard_et_al_2004,"allard_v,_newton_pcd,_lieffering_m,_soussana_j-f,_grieu_p,_matthew_c_(2004)_elevated_co2_effects_on_decomposition_processes_in_a_grazed_grassland_global_change_biology,_10,_1553–1564",new_zealand_face_c,,
allard_et_al_2005,"allard_v,_newton_pcd,_lieffering_m,_soussana_jf,_carran_ra,_matthew_c_(2005)_increased_quantity_and_quality_of_coarse_soil_organic_matter_fraction_at_elevated_co2_in_a_grazed_grassland_are_a_consequence_of_enhanced_root_growth_rate_and_turnover_plant_and_soil,_276,_49–60",new_zealand_face_c,,
allard_et_al_2005,"allard_v,_newton_pcd,_lieffering_m,_soussana_jf,_carran_ra,_matthew_c_(2005)_increased_quantity_and_quality_of_coarse_soil_organic_matter_fraction_at_elevated_co2_in_a_grazed_grassland_are_a_consequence_of_enhanced_root_growth_rate_and_turnover_plant_and",new_zealand_face_c,,
allard_et_al_2006,"allard_v,_robin_c,_newton_p,_lieffering_m,_soussana_j_2006_short_and_long-term_effects_of_elevated_co2_on_lolium_perenne_rhizodeposition_and_its_consequences_on_soil_organic_matter_turnover_and_plant_n_yield_soil_biology_and_biochemistry_38(6):_1178-1187",allard_2007_f,,
allen_and_vu_2009,"allen_lh,_vu_jcv_(2009)_carbon_dioxide_and_high_temperature_effects_on_growth_of_young_orange_trees_in_a_humid,_subtropical_environment_agricultural_and_forest_meteorology,_149,_820-830",gainesville2_c,,
allen_and_vu_2009,"allen_lh,_vu_jcv_(2009)_carbon_dioxide_and_high_temperature_effects_on_growth_of_young_orange_trees_in_a_humid,_subtropical_environment_agricultural_and_forest_meteorology,_149,_820-830",gainesville2_w1,,
allen_and_vu_2009,"allen_lh,_vu_jcv_(2009)_carbon_dioxide_and_high_temperature_effects_on_growth_of_young_orange_trees_in_a_humid,_subtropical_environment_agricultural_and_forest_meteorology,_149,_820-830",gainesville2_w2,,
allen_and_vu_2009,"allen_lh,_vu_jcv_(2009)_carbon_dioxide_and_high_temperature_effects_on_growth_of_young_orange_trees_in_a_humid,_subtropical_environment_agricultural_and_forest_meteorology,_149,_820-830",gainesville2_w3,,
allen_et_al_2006,"allen_lh,_albrecht_sl,_boote_kj,_thomas_jmg,_newman_yc,_skirvin_kw_(2006)_soil_organic_carbon_and_nitrogen_accumulation_in_plots_of_rhizoma_perennial_peanut_and_bahiagrass_grown_in_elevated_carbon_dioxide_and_temperature_journal_of_environmental_quality,",gainesville_ag_c,,
allen_et_al_2006,"allen_lh,_albrecht_sl,_boote_kj,_thomas_jmg,_newman_yc,_skirvin_kw_(2006)_soil_organic_carbon_and_nitrogen_accumulation_in_plots_of_rhizoma_perennial_peanut_and_bahiagrass_grown_in_elevated_carbon_dioxide_and_temperature_journal_of_environmental_quality,",gainesville_pn_c,,
allen_et_al_2006,"allen_lh,_albrecht_sl,_boote_kj,_thomas_jmg,_newman_yc,_skirvin_kw_(2006)_soil_organic_carbon_and_nitrogen_accumulation_in_plots_of_rhizoma_perennial_peanut_and_bahiagrass_grown_in_elevated_carbon_dioxide_and_temperature_journal_of_environmental_quality,",gainesville_w1,,
allen_et_al_2006,"allen_lh,_albrecht_sl,_boote_kj,_thomas_jmg,_newman_yc,_skirvin_kw_(2006)_soil_organic_carbon_and_nitrogen_accumulation_in_plots_of_rhizoma_perennial_peanut_and_bahiagrass_grown_in_elevated_carbon_dioxide_and_temperature_journal_of_environmental_quality,",gainesville_w2,,
allen_et_al_2006,"allen_lh,_albrecht_sl,_boote_kj,_thomas_jmg,_newman_yc,_skirvin_kw_(2006)_soil_organic_carbon_and_nitrogen_accumulation_in_plots_of_rhizoma_perennial_peanut_and_bahiagrass_grown_in_elevated_carbon_dioxide_and_temperature_journal_of_environmental_quality,",gainesville_w3,,
allison_and_treseder_2008,"allison_sd,_treseder_kk_2008_warming_and_drying_suppress_microbial_activity_and_carbon_cycling_in_boreal_forest_soils_global_change_biology_14(12):_2898-2909",central_alaska_w,,
allison_et_al_2008,"allison_et_al,_2008_warming_and_drying_suppress_microbial_activity_and
carbon_cycling_in_boreal_forest_soils",alaska_w,,
allison_et_al_2008,"allison_sd,_czimczik_ci,_treseder_kk_(2008)_microbial_activity_and_soil_respiration_under_nitrogen_addition_in_alaskan_boreal_forest_global_change_biology,_14,_1156-1168",central_alaska_f,,
allison_et_al_2010,"allison_et_al,_2010_nitrogen_alters_carbon_dynamics_during_early_succession_in_boreal_forest_siol_biology_and_biochemistry_42,_1157-1164",central_alaska_f,,
alster_et_al_2013,"alster_et_al,_2013_microbial_enzymatic_responses_to_drought_and_to_nitrogen_addition_in_a_southern_california_grassland",santa_ana_foothills_grassland_d,,
ambus_and_robertson_2006,"ambus_&_robertson_2006_the_effect_of_increased_n_deposition_on_nitrous_oxide,_methane_and_carbon_dioxide_fluxes_from_unmanaged_forest_and_grassland_communities_in_michigan_biogeochemistry_79:_315-337",michigan-kbs_coniferous_f,,
ambus_and_robertson_2006,"ambus_&_robertson_2006_the_effect_of_increased_n_deposition_on_nitrous_oxide,_methane_and_carbon_dioxide_fluxes_from_unmanaged_forest_and_grassland_communities_in_michigan_biogeochemistry_79:_315-337",michigan-kbs_coniferous_f2,,
ambus_and_robertson_2006,"ambus_&_robertson_2006_the_effect_of_increased_n_deposition_on_nitrous_oxide,_methane_and_carbon_dioxide_fluxes_from_unmanaged_forest_and_grassland_communities_in_michigan_biogeochemistry_79:_315-337",michigan-kbs_deciduous_f,,
ambus_and_robertson_2006,"ambus_&_robertson_2006_the_effect_of_increased_n_deposition_on_nitrous_oxide,_methane_and_carbon_dioxide_fluxes_from_unmanaged_forest_and_grassland_communities_in_michigan_biogeochemistry_79:_315-337",michigan-kbs_deciduous_f2,,
ambus_and_robertson_2006,"ambus_&_robertson_2006_the_effect_of_increased_n_deposition_on_nitrous_oxide,_methane_and_carbon_dioxide_fluxes_from_unmanaged_forest_and_grassland_communities_in_michigan_biogeochemistry_79:_315-337",michigan-kbs_successionalgrassland_f,,
anderegg_and_anderegg_2013,"anderegg,_w_r,_&_anderegg,_l_d_(2013)_Hydraulic_and_carbohydrate_changes_in_experimental_drought-induced_mortality_of_saplings_in_two_conifer_species tree_physiology, 33(3),_252-260",colorado_pp_d,,
anderegg_and_anderegg_2013,"anderegg,_w_r,_&_anderegg,_l_d_(2013)_Hydraulic_and_carbohydrate_changes_in_experimental_drought-induced_mortality_of_saplings_in_two_conifer_species tree_physiology, 33(3),_252-260",colorado_uj_d,,
anderson_et_al_2011,"anderson_t-h,_heinemeyer_o,_weigel_h-j_(2011)_changes_in_the_fungal-to-bacterial_respiratory_ratio_and_microbial_biomass_in agriculturally_managed_soils_under_free-air_co2_enrichment_(face)_–_a_six-year_survey_of_a_field_study_soil_biology_and_biochemistry,_43,_895–904",braunschweig_face_c,,
anderson_et_al_2011,"anderson_t-h,_heinemeyer_o,_weigel_h-j_(2011)_changes_in_the_fungal-to-bacterial_respiratory_ratio_and_microbial_biomass_in agriculturally_managed_soils_under_free-air_co2_enrichment_(face)_–_a_six-year_survey_of_a_field_study_soil_biology_and_biochemistry,_43,_895–904",braunschweig_face_cf,,
anderson_et_al_2011,"anderson_t-h,_heinemeyer_o,_weigel_h-j_(2011)_changes_in_the_fungal-to-bacterial_respiratory_ratio_and_microbial_biomass_in agriculturally_managed_soils_under_free-air_co2_enrichment_(face)_–_a_six-year_survey_of_a_field_study_soil_biology_and_biochemistry,_43,_895–904",braunschweig_face_f,,
anderson_et_al_2011,"anderson_t-h,_heinemeyer_o,_weigel_h-j_(2011)_changes_in_the_fungal-to-bacterial_respiratory_ratio_and_microbial_biomass_in agriculturally_managed_soils_under_free-air_co2_enrichment_(face)_–_a_six-year_survey_of_a_field_study_soil_biology_and_biochemistry,_43,_895–904",braunschweig_face12_wc,,
anderson_et_al_2011,"anderson_t-h,_heinemeyer_o,_weigel_h-j_(2011)_changes_in_the_fungal-to-bacterial_respiratory_ratio_and_microbial_biomass_in agriculturally_managed_soils_under_free-air_co2_enrichment_(face)_–_a_six-year_survey_of_a_field_study_soil_biology_and_biochemistry,_43,_895–904",braunschweig_face12_wcf,,
anderson_et_al_2011,"anderson_t-h,_heinemeyer_o,_weigel_h-j_(2011)_changes_in_the_fungal-to-bacterial_respiratory_ratio_and_microbial_biomass_in agriculturally_managed_soils_under_free-air_co2_enrichment_(face)_–_a_six-year_survey_of_a_field_study_soil_biology_and_biochemistry,_43,_895–904",braunschweig_face12_wf,,
anderson_et_al_2011,"anderson_t-h,_heinemeyer_o,_weigel_h-j_(2011)_changes_in_the_fungal-to-bacterial_respiratory_ratio_and_microbial_biomass_in agriculturally_managed_soils_under_free-air_co2_enrichment_(face)_–_a_six-year_survey_of_a_field_study_soil_biology_and_biochemistry,_43,_895–904",braunschweig_face23_bc,,
anderson_et_al_2011,"anderson_t-h,_heinemeyer_o,_weigel_h-j_(2011)_changes_in_the_fungal-to-bacterial_respiratory_ratio_and_microbial_biomass_in agriculturally_managed_soils_under_free-air_co2_enrichment_(face)_–_a_six-year_survey_of_a_field_study_soil_biology_and_biochemistry,_43,_895–904",braunschweig_face23_bcf,,
anderson_et_al_2011,"anderson_t-h,_heinemeyer_o,_weigel_h-j_(2011)_changes_in_the_fungal-to-bacterial_respiratory_ratio_and_microbial_biomass_in agriculturally_managed_soils_under_free-air_co2_enrichment_(face)_–_a_six-year_survey_of_a_field_study_soil_biology_and_biochemistry,_43,_895–904",braunschweig_face23_bf,,
anderson_et_al_2011,"anderson_t-h,_heinemeyer_o,_weigel_h-j_(2011)_changes_in_the_fungal-to-bacterial_respiratory_ratio_and_microbial_biomass_in agriculturally_managed_soils_under_free-air_co2_enrichment_(face)_–_a_six-year_survey_of_a_field_study_soil_biology_and_biochemistry,_43,_895–904",braunschweig_face4_c,,
anderson_et_al_2011,"anderson_t-h,_heinemeyer_o,_weigel_h-j_(2011)_changes_in_the_fungal-to-bacterial_respiratory_ratio_and_microbial_biomass_in agriculturally_managed_soils_under_free-air_co2_enrichment_(face)_–_a_six-year_survey_of_a_field_study_soil_biology_and_biochemistry,_43,_895–904",braunschweig_face4_cf,,
anderson_et_al_2011,"anderson_t-h,_heinemeyer_o,_weigel_h-j_(2011)_changes_in_the_fungal-to-bacterial_respiratory_ratio_and_microbial_biomass_in agriculturally_managed_soils_under_free-air_co2_enrichment_(face)_–_a_six-year_survey_of_a_field_study_soil_biology_and_biochemistry,_43,_895–904",braunschweig_face4_f,,
anderson_et_al_2011,"anderson_t-h,_heinemeyer_o,_weigel_h-j_(2011)_changes_in_the_fungal-to-bacterial_respiratory_ratio_and_microbial_biomass_in agriculturally_managed_soils_under_free-air_co2_enrichment_(face)_–_a_six-year_survey_of_a_field_study_soil_biology_and_biochemistry,_43,_895–904",braunschweig_face45_wc,,
anderson_et_al_2011,"anderson_t-h,_heinemeyer_o,_weigel_h-j_(2011)_changes_in_the_fungal-to-bacterial_respiratory_ratio_and_microbial_biomass_in agriculturally_managed_soils_under_free-air_co2_enrichment_(face)_–_a_six-year_survey_of_a_field_study_soil_biology_and_biochemistry,_43,_895–904",braunschweig_face45_wcf,,
anderson_et_al_2011,"anderson_t-h,_heinemeyer_o,_weigel_h-j_(2011)_changes_in_the_fungal-to-bacterial_respiratory_ratio_and_microbial_biomass_in agriculturally_managed_soils_under_free-air_co2_enrichment_(face)_–_a_six-year_survey_of_a_field_study_soil_biology_and_biochemistry,_43,_895–904",braunschweig_face45_wf,,
anderson_et_al_2011,"anderson_t-h,_heinemeyer_o,_weigel_h-j_(2011)_changes_in_the_fungal-to-bacterial_respiratory_ratio_and_microbial_biomass_in agriculturally_managed_soils_under_free-air_co2_enrichment_(face)_–_a_six-year_survey_of_a_field_study_soil_biology_and_biochemistry,_43,_895–904",braunschweig_face90_bc,,
anderson_et_al_2011,"anderson_t-h,_heinemeyer_o,_weigel_h-j_(2011)_changes_in_the_fungal-to-bacterial_respiratory_ratio_and_microbial_biomass_in agriculturally_managed_soils_under_free-air_co2_enrichment_(face)_–_a_six-year_survey_of_a_field_study_soil_biology_and_biochemistry,_43,_895–904",braunschweig_face90_bcf,,
anderson_et_al_2011,"anderson_t-h,_heinemeyer_o,_weigel_h-j_(2011)_changes_in_the_fungal-to-bacterial_respiratory_ratio_and_microbial_biomass_in agriculturally_managed_soils_under_free-air_co2_enrichment_(face)_–_a_six-year_survey_of_a_field_study_soil_biology_and_biochemistry,_43,_895–904",braunschweig_face90_bf,,
andresen_et_al_2009,"andresen_lc,_michelsen_a,_jonasson_s,_beier_c,_ambus_p_(2009)_glycine_uptake_in_heath_plants_and_soil_microbes_responds_to_elevated_temperature,_co2_and_drought_acta_oecologica,_35,_786–796",climaite_c,,
andresen_et_al_2009,"andresen,_lc,_michelsen,_a,_jonasson,_s,_beier,_c,_&_ambus,_p_(2009)_glycine_uptake_in_heath_plants_and_soil_microbes_responds_to_elevated_temperature,_co2_and_drought acta_oecologica, 35(6),_786-796",climaite_c,,
andresen_et_al_2009,"andresen_lc,_michelsen_a,_jonasson_s,_beier_c,_ambus_p_(2009)_glycine_uptake_in_heath_plants_and_soil_microbes_responds_to_elevated_temperature,_co2_and_drought_acta_oecologica,_35,_786–796",climaite_cd,,
andresen_et_al_2009,"andresen,_l_c,_michelsen,_a,_jonasson,_s,_beier,_c,_&_ambus,_p_(2009)_glycine_uptake_in_heath_plants_and_soil_microbes_responds_to_elevated_temperature,_co2_and_drought acta_oecologica, 35(6),_786-796",climaite_cd,,
andresen_et_al_2009,"andresen_lc,_michelsen_a,_jonasson_s,_beier_c,_ambus_p_(2009)_glycine_uptake_in_heath_plants_and_soil_microbes_responds_to_elevated_temperature,_co2_and_drought_acta_oecologica,_35,_786–796",climaite_cw,,
andresen_et_al_2009,"andresen,_l_c,_michelsen,_a,_jonasson,_s,_beier,_c,_&_ambus,_p_(2009)_glycine_uptake_in_heath_plants_and_soil_microbes_responds_to_elevated_temperature,_co2_and_drought acta_oecologica, 35(6),_786-796",climaite_cw,,
andresen_et_al_2009,"andresen_lc,_michelsen_a,_jonasson_s,_beier_c,_ambus_p_(2009)_glycine_uptake_in_heath_plants_and_soil_microbes_responds_to_elevated_temperature,_co2_and_drought_acta_oecologica,_35,_786–796",climaite_cwd,,
andresen_et_al_2009,"andresen,_l_c,_michelsen,_a,_jonasson,_s,_beier,_c,_&_ambus,_p_(2009)_glycine_uptake_in_heath_plants_and_soil_microbes_responds_to_elevated_temperature,_co2_and_drought acta_oecologica, 35(6),_786-796",climaite_cwd,,
andresen_et_al_2009,"andresen_lc,_michelsen_a,_jonasson_s,_beier_c,_ambus_p_(2009)_glycine_uptake_in_heath_plants_and_soil_microbes_responds_to_elevated_temperature,_co2_and_drought_acta_oecologica,_35,_786–796",climaite_d,,
andresen_et_al_2009,"andresen,_l_c,_michelsen,_a,_jonasson,_s,_beier,_c,_&_ambus,_p_(2009)_glycine_uptake_in_heath_plants_and_soil_microbes_responds_to_elevated_temperature,_co2_and_drought acta_oecologica, 35(6),_786-796",climaite_d,,
andresen_et_al_2009,"andresen_lc,_michelsen_a,_jonasson_s,_beier_c,_ambus_p_(2009)_glycine_uptake_in_heath_plants_and_soil_microbes_responds_to_elevated_temperature,_co2_and_drought_acta_oecologica,_35,_786–796",climaite_dw,,
