citation,exp,full_reference,
adair_et_al_2009,biocon_s,adair_ec_reich_pb_hobbie_se_and_knops_jm_2009_interactive_effects_of_time_co2_n_and_diversity_on_total_belowground_carbon_allocation_and_ecosystem_carbon_storage_in_a_grassland_community_ecosystems_12_1037-1052,
adair_et_al_2009,biocon_c,adair_ec_reich_pb_hobbie_se_and_knops_jm_2009_interactive_effects_of_time_co2_n_and_diversity_on_total_belowground_carbon_allocation_and_ecosystem_carbon_storage_in_a_grassland_community_ecosystems_12_1037-1052,
adair_et_al_2009,biocon_cf,adair_ec_reich_pb_hobbie_se_and_knops_jm_2009_interactive_effects_of_time_co2_n_and_diversity_on_total_belowground_carbon_allocation_and_ecosystem_carbon_storage_in_a_grassland_community_ecosystems_12_1037-1052,
adair_et_al_2009,biocon_f,adair_ec_reich_pb_hobbie_se_and_knops_jm_2009_interactive_effects_of_time_co2_n_and_diversity_on_total_belowground_carbon_allocation_and_ecosystem_carbon_storage_in_a_grassland_community_ecosystems_12_1037-1052,
adair_et_al_2011,biocon_c,adair_et_al_2011_elevated_co2_stimulates_grassland_soil_respiration_by_increasing_carbon_inputs_rather_than_by_enhancing_soil_moisture_global_change_biology_doi:_101111/j1365-2486201102484x,
adair_et_al_2011,biocon_cf,adair_et_al_2011_elevated_co2_stimulates_grassland_soil_respiration_by_increasing_carbon_inputs_rather_than_by_enhancing_soil_moisture_global_change_biology_doi:_101111/j1365-2486201102484x,
adair_et_al_2011,biocon_f,adair_et_al_2011_elevated_co2_stimulates_grassland_soil_respiration_by_increasing_carbon_inputs_rather_than_by_enhancing_soil_moisture_global_change_biology_doi:_101111/j1365-2486201102484x,
adamek_et_al_2011,chiriqui_f,adamek_m_corre_md_hoelscher_d_2011_responses_of_fine_roots_to_experimental_nitrogen_addition_in_a_tropical_lower_montane_rain_forest_panama_journal_of_tropical_ecology_27:_73-81,
adamsen_et_al_2005,maricopaface_wheat92_c,"adamsen_et_al_2005_temporal_changes_in_soil_and_biomass_nitrogen_for_irrigated_wheat_grown
under_free-air_carbon_dioxide_enrichment_face_agron_j_97:160–168_2005",
adamsen_et_al_2005,maricopaface_wheat92_ci,"adamsen_et_al_2005_temporal_changes_in_soil_and_biomass_nitrogen_for_irrigated_wheat_grown
under_free-air_carbon_dioxide_enrichment_face_agron_j_97:160–168_2005",
adamsen_et_al_2005,maricopaface_wheat92_i,"adamsen_et_al_2005_temporal_changes_in_soil_and_biomass_nitrogen_for_irrigated_wheat_grown
under_free-air_carbon_dioxide_enrichment_face_agron_j_97:160–168_2005",
adamsen_et_al_2005,maricopaface_wheat93_c,"adamsen_et_al_2005_temporal_changes_in_soil_and_biomass_nitrogen_for_irrigated_wheat_grown
under_free-air_carbon_dioxide_enrichment_face_agron_j_97:160–168_2005",
adamsen_et_al_2005,maricopaface_wheat93_ci,"adamsen_et_al_2005_temporal_changes_in_soil_and_biomass_nitrogen_for_irrigated_wheat_grown
under_free-air_carbon_dioxide_enrichment_face_agron_j_97:160–168_2005",
adamsen_et_al_2005,maricopaface_wheat93_i,"adamsen_et_al_2005_temporal_changes_in_soil_and_biomass_nitrogen_for_irrigated_wheat_grown
under_free-air_carbon_dioxide_enrichment_face_agron_j_97:160–168_2005",
adeboye_et_al_2006,11.18_7.63_f,adeboye_m_k_a_iwuafor_e_n_o_and_agbenin_j_o_2006_the_effects_of_crop_rotation_and_nitrogen_fertilization_on_soil_chemical_and_microbial_properties_in_a_guinea_savanna_alfisol_of_nigeria_plant_and_soil_2811–2_97–107_https://doiorg/101007/s11104-005-3828-5,
aerts_and_berendse_1988,52.22_5.53_fn,aerts_r_and_berendse_f_1988_the_effect_of_increased_nutrient_availability_on_vegetation_dynamics_in_wet_heathlands_vegetatio_761–2_63–69_https://doiorg/101007/bf00047389,
aerts_and_berendse_1988,52.22_5.53_fp,aerts_r_and_berendse_f_1988_the_effect_of_increased_nutrient_availability_on_vegetation_dynamics_in_wet_heathlands_vegetatio_761–2_63–69_https://doiorg/101007/bf00047389,
aerts_et_al_1992,akhult_single_fn2,aerts_r_wallen_bo_and_malmer_n_1992_growth-limiting_nutrients_in_sphagnum-dominated_bogs_subject_to_low_and_high_atmospheric_nitrogen_supply_journal_of_ecology_80:_131-140,
aerts_et_al_1992,akhult_single_fn,aerts_r_wallen_bo_and_malmer_n_1992_growth-limiting_nutrients_in_sphagnum-dominated_bogs_subject_to_low_and_high_atmospheric_nitrogen_supply_journal_of_ecology_80:_131-140,
aerts_et_al_1992,akhult_single_fp2,aerts_r_wallen_bo_and_malmer_n_1992_growth-limiting_nutrients_in_sphagnum-dominated_bogs_subject_to_low_and_high_atmospheric_nitrogen_supply_journal_of_ecology_80:_131-140,
aerts_et_al_1992,akhult_single_fp,aerts_r_wallen_bo_and_malmer_n_1992_growth-limiting_nutrients_in_sphagnum-dominated_bogs_subject_to_low_and_high_atmospheric_nitrogen_supply_journal_of_ecology_80:_131-140,
aerts_et_al_1992,stordalen_single_fn2,aerts_r_wallen_bo_and_malmer_n_1992_growth-limiting_nutrients_in_sphagnum-dominated_bogs_subject_to_low_and_high_atmospheric_nitrogen_supply_journal_of_ecology_80:_131-140,
aerts_et_al_1992,stordalen_single_fn,aerts_r_wallen_bo_and_malmer_n_1992_growth-limiting_nutrients_in_sphagnum-dominated_bogs_subject_to_low_and_high_atmospheric_nitrogen_supply_journal_of_ecology_80:_131-140,
aerts_et_al_1992,stordalen_single_fp2,aerts_r_wallen_bo_and_malmer_n_1992_growth-limiting_nutrients_in_sphagnum-dominated_bogs_subject_to_low_and_high_atmospheric_nitrogen_supply_journal_of_ecology_80:_131-140,
aerts_et_al_1992,stordalen_single_fp,aerts_r_wallen_bo_and_malmer_n_1992_growth-limiting_nutrients_in_sphagnum-dominated_bogs_subject_to_low_and_high_atmospheric_nitrogen_supply_journal_of_ecology_80:_131-140,
aerts_et_al_2001,akhult_long_fn2,aerts_r_wallen_b_malmer_n_and_de_caluwe_h_2001_nutritional_constraints_on_sphagnum-growth_and_potential_decay_in_northern_peatlands_journal_of_ecology_892_292–299_https://doiorg/101046/j1365-2745200100539x,
aerts_et_al_2001,akhult_long_fn,aerts_r_wallen_b_malmer_n_and_de_caluwe_h_2001_nutritional_constraints_on_sphagnum-growth_and_potential_decay_in_northern_peatlands_journal_of_ecology_892_292–299_https://doiorg/101046/j1365-2745200100539x,
aerts_et_al_2001,akhult_long_fp2,aerts_r_wallen_b_malmer_n_and_de_caluwe_h_2001_nutritional_constraints_on_sphagnum-growth_and_potential_decay_in_northern_peatlands_journal_of_ecology_892_292–299_https://doiorg/101046/j1365-2745200100539x,
aerts_et_al_2001,akhult_long_fp,aerts_r_wallen_b_malmer_n_and_de_caluwe_h_2001_nutritional_constraints_on_sphagnum-growth_and_potential_decay_in_northern_peatlands_journal_of_ecology_892_292–299_https://doiorg/101046/j1365-2745200100539x,
aerts_et_al_2001,stordalen_long_fn2,aerts_r_wallen_b_malmer_n_and_de_caluwe_h_2001_nutritional_constraints_on_sphagnum-growth_and_potential_decay_in_northern_peatlands_journal_of_ecology_892_292–299_https://doiorg/101046/j1365-2745200100539x,
aerts_et_al_2001,stordalen_long_fn,aerts_r_wallen_b_malmer_n_and_de_caluwe_h_2001_nutritional_constraints_on_sphagnum-growth_and_potential_decay_in_northern_peatlands_journal_of_ecology_892_292–299_https://doiorg/101046/j1365-2745200100539x,
aerts_et_al_2001,stordalen_long_fp2,aerts_r_wallen_b_malmer_n_and_de_caluwe_h_2001_nutritional_constraints_on_sphagnum-growth_and_potential_decay_in_northern_peatlands_journal_of_ecology_892_292–299_https://doiorg/101046/j1365-2745200100539x,
aerts_et_al_2001,stordalen_long_fp,aerts_r_wallen_b_malmer_n_and_de_caluwe_h_2001_nutritional_constraints_on_sphagnum-growth_and_potential_decay_in_northern_peatlands_journal_of_ecology_892_292–299_https://doiorg/101046/j1365-2745200100539x,
aerts_et_al_2003,51.85_5.62_fn,aerts_r_de_caluwe_h_and_beltman_b_2003_is_the_relation_between_nutrient_supply_and_biodiversity_co-determined_by_the_type_of_nutrient_limitation?_oikos_1013_489–498_https://doiorg/101034/j1600-0706200312223x,
aerts_et_al_2003,51.85_5.62_fnp,aerts_r_de_caluwe_h_and_beltman_b_2003_is_the_relation_between_nutrient_supply_and_biodiversity_co-determined_by_the_type_of_nutrient_limitation?_oikos_1013_489–498_https://doiorg/101034/j1600-0706200312223x,
aerts_et_al_2003,51.85_5.62_fp,aerts_r_de_caluwe_h_and_beltman_b_2003_is_the_relation_between_nutrient_supply_and_biodiversity_co-determined_by_the_type_of_nutrient_limitation?_oikos_1013_489–498_https://doiorg/101034/j1600-0706200312223x,
aerts_et_al_2003,52.07_5.58_fn,aerts_r_de_caluwe_h_and_beltman_b_2003_is_the_relation_between_nutrient_supply_and_biodiversity_co-determined_by_the_type_of_nutrient_limitation?_oikos_1013_489–498_https://doiorg/101034/j1600-0706200312223x,
aerts_et_al_2003,52.07_5.58_fnp,aerts_r_de_caluwe_h_and_beltman_b_2003_is_the_relation_between_nutrient_supply_and_biodiversity_co-determined_by_the_type_of_nutrient_limitation?_oikos_1013_489–498_https://doiorg/101034/j1600-0706200312223x,
aerts_et_al_2003,52.07_5.58_fp,aerts_r_de_caluwe_h_and_beltman_b_2003_is_the_relation_between_nutrient_supply_and_biodiversity_co-determined_by_the_type_of_nutrient_limitation?_oikos_1013_489–498_https://doiorg/101034/j1600-0706200312223x,
agathokleous_et_al_2016,43.1_141.33_c,agathokleous_e_watanabe_m_eguchi_n_nakaji_t_satoh_f_and_koike_t_2016_root_production_of_fagus_crenata_blume_saplings_grown_in_two_soils_and_exposed_to_elevated_co2_concentration:_an_11-year_free-air-co2_enrichment_face_experiment_in_northern_japan_water_air_and_soil_pollution_2276_1–12_https://doiorg/101007/s11270-016-2884-1,
aggeng_et_al_2004,maricopaface_wheat94_c,"asseng_et_al_2004_simulated_wheat_growth_affected_by_rising_temperature
increased_water_deficit_and_elevated_atmospheric_co2_field_crops_research_85_2004_85–102",
agrell_et_al_2005,aspenface_bp_c,agrell_j_kopper_b_mcdonald_ep_lindroth_rl_2005_co2_and_o3_effects_on_host_plant_preferences_of_the_forest_tent_caterpillar_malacosoma_disstria_global_change_biology_11:588–599,
ainsworth_et_al_2003,swissface_trifolium2_c,ainsworth_e_a_rogers_a_blum_h_noèsberger_j_and_long_s_p_2003_variation_in_acclimation_of_photosynthesis_in_trifolium_repens_after_eight_years_of_exposure_to_free_air_co2_enrichment_face journal_of_experimental_botany_54:2769-2774,
ainsworth_et_al_2004,soyfacesoy2_c,elizabeth_a_ainsworth_alistair_rogersa_randall_nelsona_stephen_p_long,
albaugh_et_al_1998,setres_f,albaugh_et_al_1998_leaf_area_and_above-_and_belowground_growth_responses_of_loblolly_pine_to_nutrient_and_water_additions_forest_science_44_317-328,
albaugh_et_al_1998,setres_h,albaugh_et_al_1998_leaf_area_and_above-_and_belowground_growth_responses_of_loblolly_pine_to_nutrient_and_water_additions_forest_science_44_317-328,
albaugh_et_al_1998,setres_hf,albaugh_et_al_1998_leaf_area_and_above-_and_belowground_growth_responses_of_loblolly_pine_to_nutrient_and_water_additions_forest_science_44_317-328,
albert_et_al_2011a,climaite_c,albert_kr_ro-poulsen_h_mikkelsen_tn_et_al_2011_effects_of_elevated_co2_warming_and_drought_episodes_on_plant_carbon_uptake_in_a_temperate_heath_ecosystem_are_controlled_by_soil_water_status_plant_cell_and_environment_34:1207–1222_doi:_101111/j136,
albert_et_al_2011a,climaite_cd,albert_kr_ro-poulsen_h_mikkelsen_tn_et_al_2011_effects_of_elevated_co2_warming_and_drought_episodes_on_plant_carbon_uptake_in_a_temperate_heath_ecosystem_are_controlled_by_soil_water_status_plant_cell_and_environment_34:1207–1222_doi:_101111/j136,
albert_et_al_2011a,climaite_cw,albert_kr_ro-poulsen_h_mikkelsen_tn_et_al_2011_effects_of_elevated_co2_warming_and_drought_episodes_on_plant_carbon_uptake_in_a_temperate_heath_ecosystem_are_controlled_by_soil_water_status_plant_cell_and_environment_34:1207–1222_doi:_101111/j136,
albert_et_al_2011a,climaite_d,albert_kr_ro-poulsen_h_mikkelsen_tn_et_al_2011_effects_of_elevated_co2_warming_and_drought_episodes_on_plant_carbon_uptake_in_a_temperate_heath_ecosystem_are_controlled_by_soil_water_status_plant_cell_and_environment_34:1207–1222_doi:_101111/j136,
albert_et_al_2011a,climaite_dw,albert_kr_ro-poulsen_h_mikkelsen_tn_et_al_2011_effects_of_elevated_co2_warming_and_drought_episodes_on_plant_carbon_uptake_in_a_temperate_heath_ecosystem_are_controlled_by_soil_water_status_plant_cell_and_environment_34:1207–1222_doi:_101111/j136,
albert_et_al_2011a,climaite_w,albert_kr_ro-poulsen_h_mikkelsen_tn_et_al_2011_effects_of_elevated_co2_warming_and_drought_episodes_on_plant_carbon_uptake_in_a_temperate_heath_ecosystem_are_controlled_by_soil_water_status_plant_cell_and_environment_34:1207–1222_doi:_101111/j136,
albert_et_al_2011a,climaite_cdw,carter_et_al__2011_effects_of_elevated_atmospheric_co2_prolonged_summer_drought_and_temperature_increase_on_n2o_and_ch4_fluxes_in_a_temperate_heathland,
albert_et_al_2011b,climaite_c,albert_kr_ro-poulsen_h_mikkelsen_tn_et_al_2011_interactive_effects_of_elevated_co2_warming_and_drought_on_photosynthesis_of_deschampsia_flexuosa_in_a_temperate_heath_ecosystem_j_exp_bot_62:4253–4266_doi:_101093/jxb/err133,
albert_et_al_2011b,climaite_cd,albert_kr_ro-poulsen_h_mikkelsen_tn_et_al_2011_interactive_effects_of_elevated_co2_warming_and_drought_on_photosynthesis_of_deschampsia_flexuosa_in_a_temperate_heath_ecosystem_j_exp_bot_62:4253–4266_doi:_101093/jxb/err133,
albert_et_al_2011b,climaite_cw,albert_kr_ro-poulsen_h_mikkelsen_tn_et_al_2011_interactive_effects_of_elevated_co2_warming_and_drought_on_photosynthesis_of_deschampsia_flexuosa_in_a_temperate_heath_ecosystem_j_exp_bot_62:4253–4266_doi:_101093/jxb/err133,
albert_et_al_2011b,climaite_d,albert_kr_ro-poulsen_h_mikkelsen_tn_et_al_2011_interactive_effects_of_elevated_co2_warming_and_drought_on_photosynthesis_of_deschampsia_flexuosa_in_a_temperate_heath_ecosystem_j_exp_bot_62:4253–4266_doi:_101093/jxb/err133,
albert_et_al_2011b,climaite_dw,albert_kr_ro-poulsen_h_mikkelsen_tn_et_al_2011_interactive_effects_of_elevated_co2_warming_and_drought_on_photosynthesis_of_deschampsia_flexuosa_in_a_temperate_heath_ecosystem_j_exp_bot_62:4253–4266_doi:_101093/jxb/err133,
albert_et_al_2011b,climaite_w,albert_kr_ro-poulsen_h_mikkelsen_tn_et_al_2011_interactive_effects_of_elevated_co2_warming_and_drought_on_photosynthesis_of_deschampsia_flexuosa_in_a_temperate_heath_ecosystem_j_exp_bot_62:4253–4266_doi:_101093/jxb/err133,
albert_et_al_2011b,climaite_cdw,carter_et_al__2011_effects_of_elevated_atmospheric_co2_prolonged_summer_drought_and_temperature_increase_on_n2o_and_ch4_fluxes_in_a_temperate_heathland,
ali_et_al_2013,biocon_c,ali_aa_medlyn_be_crous_ky_reich_pb_2013_a_trait?based_ecosystem_model_suggests_that_long?term_responsiveness_to_rising_atmospheric_co2_concentration_is_greater_in_slow?growing_than_fast?growing_plants functional_ecology 274:_1011-1022,
allard_et_al_2003,new_zealand_face_c,allard_v_newton_pcd_lieffering_m_clark_h_matthew_c_soussana_j-f_gray_ys_2003_nitrogen_cycling_in_grazed_pastures_at_elevated_co2:_n_returns_by_ruminants_global_change_biology_9_1731–1742,
allard_et_al_2004,new_zealand_face_c,allard_v_newton_pcd_lieffering_m_soussana_j-f_grieu_p_matthew_c_2004_elevated_co2_effects_on_decomposition_processes_in_a_grazed_grassland_global_change_biology_10_1553–1564,
allard_et_al_2005,new_zealand_face_c,allard_v_newton_pcd_lieffering_m_soussana_jf_carran_ra_matthew_c_2005_increased_quantity_and_quality_of_coarse_soil_organic_matter_fraction_at_elevated_co2_in_a_grazed_grassland_are_a_consequence_of_enhanced_root_growth_rate_and_turnover_plant_and_soil_276_49–60,
allard_et_al_2006,new_zealand_gh_f,allard_v_robin_c_newton_p_lieffering_m_soussana_j_2006_short_and_long-term_effects_of_elevated_co2_on_lolium_perenne_rhizodeposition_and_its_consequences_on_soil_organic_matter_turnover_and_plant_n_yield_soil_biology_and_biochemistry_386:_1178-1187,
allen_and_vu_2009,gainesville_trees_c,allen_lh_vu_jcv_2009_carbon_dioxide_and_high_temperature_effects_on_growth_of_young_orange_trees_in_a_humid_subtropical_environment_agricultural_and_forest_meteorology_149_820-830,
allen_and_vu_2009,gainesville_trees_w_trees,allen_lh_vu_jcv_2009_carbon_dioxide_and_high_temperature_effects_on_growth_of_young_orange_trees_in_a_humid_subtropical_environment_agricultural_and_forest_meteorology_149_820-830,
allen_and_vu_2009,gainesville_trees_w1,allen_lh_vu_jcv_2009_carbon_dioxide_and_high_temperature_effects_on_growth_of_young_orange_trees_in_a_humid_subtropical_environment_agricultural_and_forest_meteorology_149_820-830,
allen_and_vu_2009,gainesville_trees_w3,allen_lh_vu_jcv_2009_carbon_dioxide_and_high_temperature_effects_on_growth_of_young_orange_trees_in_a_humid_subtropical_environment_agricultural_and_forest_meteorology_149_820-830,
allen_et_al_2000,36.1_-79.2_c,allen_a_s_andrews_j_a_finzi_a_c_matamala_r_richter_d_d_and_schlesinger_w_h_2000_effects_of_free-air_co2_enrichment_face_on_belowground_processes_in_a_pinus_taeda_forest_ecological_applications_102_437–448_https://doiorg/101890/1051-07612000010[0437:eoface]20co;2,
allen_et_al_2006,gainesville_grassland_ag_c,allen_lh_albrecht_sl_boote_kj_thomas_jmg_newman_yc_skirvin_kw_2006_soil_organic_carbon_and_nitrogen_accumulation_in_plots_of_rhizoma_perennial_peanut_and_bahiagrass_grown_in_elevated_carbon_dioxide_and_temperature_journal_of_environmental_quality,
allen_et_al_2006,gainesville_grassland_pn_c,allen_lh_albrecht_sl_boote_kj_thomas_jmg_newman_yc_skirvin_kw_2006_soil_organic_carbon_and_nitrogen_accumulation_in_plots_of_rhizoma_perennial_peanut_and_bahiagrass_grown_in_elevated_carbon_dioxide_and_temperature_journal_of_environmental_quality,
allen_et_al_2006,gainesville_grassland2_w2,allen_lh_albrecht_sl_boote_kj_thomas_jmg_newman_yc_skirvin_kw_2006_soil_organic_carbon_and_nitrogen_accumulation_in_plots_of_rhizoma_perennial_peanut_and_bahiagrass_grown_in_elevated_carbon_dioxide_and_temperature_journal_of_environmental_quality,
allen_et_al_2006,gainesville_grassland2_w3,allen_lh_albrecht_sl_boote_kj_thomas_jmg_newman_yc_skirvin_kw_2006_soil_organic_carbon_and_nitrogen_accumulation_in_plots_of_rhizoma_perennial_peanut_and_bahiagrass_grown_in_elevated_carbon_dioxide_and_temperature_journal_of_environmental_quality,
allen_et_al_2006,gainesville_grassland2_w,allen_lh_albrecht_sl_boote_kj_thomas_jmg_newman_yc_skirvin_kw_2006_soil_organic_carbon_and_nitrogen_accumulation_in_plots_of_rhizoma_perennial_peanut_and_bahiagrass_grown_in_elevated_carbon_dioxide_and_temperature_journal_of_environmental_quality,
allen_et_al_2011,29.68_-82.33_c,allen_jr_lh_kakani_vg_vu_jc_and_boote_kj_2011_elevated_co2_increases_water_use_efficiency_by_sustaining_photosynthesis_of_water-limited_maize_and_sorghum_journal_of_plant_physiology_168_1909-1918,
allen_et_al_2011,29.68_-82.33_cd,allen_jr_lh_kakani_vg_vu_jc_and_boote_kj_2011_elevated_co2_increases_water_use_efficiency_by_sustaining_photosynthesis_of_water-limited_maize_and_sorghum_journal_of_plant_physiology_168_1909-1918,
allen_et_al_2011,29.68_-82.33_d,allen_jr_lh_kakani_vg_vu_jc_and_boote_kj_2011_elevated_co2_increases_water_use_efficiency_by_sustaining_photosynthesis_of_water-limited_maize_and_sorghum_journal_of_plant_physiology_168_1909-1918,
allison_and_treseder_2008,alaska_w,"allison_et_al_2008_warming_and_drying_suppress_microbial_activity_and
carbon_cycling_in_boreal_forest_soils",
allison_et_al_2008,alaska_f,brenner_re_boone_rd_ruess_rw_2005_nitrogen_additions_to_pristine_high-latitude_forest_ecosystems:_consequences_for_soil_nitrogen_transformations_and_retention_in_mid_and_late_succession_biogeochemistry_722:_257-282,
allison_et_al_2010,alaska_f,allison_s_d_gartner_t_b_mack_m_c_mcguire_k_and_treseder_k_nitrogen_alters_carbon_dynamics_during_early_succession_in_boreal_forest_soil_biol_biochem_42_1157-1164_2010,
allison_et_al_2010,alaska_w,allison_s_d_gartner_t_b_mack_m_c_mcguire_k_and_treseder_k_nitrogen_alters_carbon_dynamics_during_early_succession_in_boreal_forest_soil_biol_biochem_42_1157-1164_2010,
allison_et_al_2010b,alaska_f,brenner_re_boone_rd_ruess_rw_2005_nitrogen_additions_to_pristine_high-latitude_forest_ecosystems:_consequences_for_soil_nitrogen_transformations_and_retention_in_mid_and_late_succession_biogeochemistry_722:_257-282,
alster_et_al_2013,santa_ana_foothills_grassland_d,alster_et_al_2013_microbial_enzymatic_responses_to_drought_and_to_nitrogen_addition_in_a_southern_california_grassland,
ambus_and_robertson_2006,michigan-kbs_coniferous_f,ambus_and_robertson_2006_the_effect_of_increased_n_deposition_on_nitrous_oxide_methane_and_carbon_dioxide_fluxes_from_unmanaged_forest_and_grassland_communities_in_michigan_biogeochemistry_79:_315-337,
ambus_and_robertson_2006,michigan-kbs_deciduous_f2,ambus_and_robertson_2006_the_effect_of_increased_n_deposition_on_nitrous_oxide_methane_and_carbon_dioxide_fluxes_from_unmanaged_forest_and_grassland_communities_in_michigan_biogeochemistry_79:_315-337,
ambus_and_robertson_2006,michigan-kbs_deciduous_f,ambus_and_robertson_2006_the_effect_of_increased_n_deposition_on_nitrous_oxide_methane_and_carbon_dioxide_fluxes_from_unmanaged_forest_and_grassland_communities_in_michigan_biogeochemistry_79:_315-337,
ambus_and_robertson_2006,michigan-kbs_coniferous_f2,ambus_and_robertson_2006_the_effect_of_increased_n_deposition_on_nitrous_oxide_methane_and_carbon_dioxide_fluxes_from_unmanaged_forest_and_grassland_communities_in_michigan_biogeochemistry_79:_315-337,
an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_experimental_information_see_niu_et_al_2010_global_change_biology_16:_144-155,duolun7_f,na,
an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_experimental_information_see_niu_et_al_2010_global_change_biology_16:_144-155,duolun7_i,na,
an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_experimental_information_see_niu_et_al_2010_global_change_biology_16:_144-155,duolun7_if,na,
an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_experimental_information_see_niu_et_al_2010_global_change_biology_16:_144-155,duolun7_iw,na,
an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_experimental_information_see_niu_et_al_2010_global_change_biology_16:_144-155,duolun7_w,na,
an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_experimental_information_see_niu_et_al_2010_global_change_biology_16:_144-155,duolun7_d,na,
an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_experimental_information_see_niu_et_al_2010_global_change_biology_16:_144-155,duolun7_dw,na,
an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_experimental_information_see_niu_et_al_2010_global_change_biology_16:_144-155,duolun7_i,na,
an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_experimental_information_see_niu_et_al_2010_global_change_biology_16:_144-155,duolun7_iw,na,
an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_experimental_information_see_niu_et_al_2010_global_change_biology_16:_144-155,duolun7_w,na,
an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_experimental_information_see_niu_et_al_2010_global_change_biology_16:_144-155,duolun7_c,na,
an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_experimental_information_see_niu_et_al_2010_global_change_biology_16:_144-155,duolun7_cf,na,
an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_experimental_information_see_niu_et_al_2010_global_change_biology_16:_144-155,duolun7_cw,na,
an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_experimental_information_see_niu_et_al_2010_global_change_biology_16:_144-155,duolun7_f,na,
an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_experimental_information_see_niu_et_al_2010_global_change_biology_16:_144-155,duolun7_fw,na,
an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_experimental_information_see_niu_et_al_2010_global_change_biology_16:_144-155,duolun7_i,na,
an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_experimental_information_see_niu_et_al_2010_global_change_biology_16:_144-155,duolun7_if,na,
an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_experimental_information_see_niu_et_al_2010_global_change_biology_16:_144-155,duolun7_iw,na,
an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_experimental_information_see_niu_et_al_2010_global_change_biology_16:_144-155,duolun7_w,na,
